,chir-99021
ACH-000534,1
ACH-001498,0
ACH-000545,0
ACH-000470,0
ACH-001443,1
ACH-000981,1
ACH-001642,1
ACH-000652,0
ACH-001400,0
ACH-000660,1
ACH-001549,1
ACH-001442,0
ACH-001542,0
ACH-001702,1
ACH-000958,1
ACH-000772,0
ACH-001334,0
ACH-001638,1
ACH-000318,0
ACH-001497,0
ACH-000437,0
ACH-001653,0
ACH-000716,1
ACH-000677,0
ACH-000469,1
ACH-000991,0
ACH-001328,0
ACH-001344,0
ACH-001530,0
ACH-000567,1
ACH-001016,1
ACH-001402,0
ACH-001650,0
ACH-000484,1
ACH-000516,1
ACH-001106,1
ACH-001517,1
ACH-000949,0
ACH-000439,0
ACH-001336,0
ACH-000917,1
ACH-000489,0
ACH-000002,0
ACH-001525,1
ACH-001715,1
ACH-000197,0
ACH-000649,1
ACH-000970,1
ACH-001494,0
ACH-000626,0
ACH-000271,1
ACH-001368,0
ACH-001345,1
ACH-001711,1
ACH-000719,1
ACH-000568,0
ACH-001674,0
ACH-000778,1
ACH-001360,1
ACH-000611,1
ACH-000910,0
ACH-000688,1
ACH-000452,1
ACH-001274,1
ACH-000704,0
ACH-001654,1
ACH-000583,1
ACH-000935,0
ACH-000332,0
ACH-000976,1
ACH-000428,1
ACH-001193,0
ACH-001341,1
ACH-000362,0
ACH-000556,1
ACH-000915,1
ACH-001374,1
ACH-000948,1
ACH-001655,1
ACH-000371,1
ACH-000421,0
ACH-000714,1
ACH-001333,0
ACH-000244,0
ACH-000874,1
ACH-000684,1
ACH-000858,0
ACH-001332,1
ACH-000365,1
ACH-000896,0
ACH-000449,0
ACH-001529,1
ACH-000769,0
ACH-001500,1
ACH-000667,1
ACH-000793,1
ACH-000809,0
ACH-000863,1
ACH-000334,0
ACH-001401,0
ACH-000905,1
ACH-000855,0
ACH-000681,0
ACH-000674,1
ACH-000335,0
ACH-000631,1
ACH-000943,1
ACH-000336,0
ACH-001399,0
ACH-001496,0
ACH-000806,1
ACH-000432,1
ACH-000552,0
ACH-000750,1
ACH-000601,1
ACH-001418,0
ACH-000997,0
ACH-000711,0
ACH-000656,0
ACH-000411,1
ACH-001086,1
ACH-000566,1
ACH-000105,1
ACH-000633,0
ACH-000749,1
ACH-000361,1
ACH-000337,0
ACH-000528,0
ACH-000827,1
