,pac-1
ACH-000534,0
ACH-001498,1
ACH-000545,0
ACH-000470,0
ACH-001443,1
ACH-000981,1
ACH-001642,0
ACH-000652,1
ACH-001400,0
ACH-000660,1
ACH-001549,1
ACH-001442,0
ACH-001542,0
ACH-000772,0
ACH-001334,0
ACH-001638,1
ACH-000318,0
ACH-000437,0
ACH-000716,1
ACH-000677,0
ACH-000469,0
ACH-001328,1
ACH-001344,0
ACH-001530,0
ACH-000567,1
ACH-001016,0
ACH-001402,0
ACH-001650,0
ACH-000484,1
ACH-000516,0
ACH-001106,1
ACH-001517,0
ACH-000949,0
ACH-000439,1
ACH-001336,1
ACH-000002,0
ACH-001525,1
ACH-001715,0
ACH-000197,0
ACH-000649,1
ACH-001494,0
ACH-001345,0
ACH-001711,0
ACH-000568,0
ACH-001674,0
ACH-000778,0
ACH-001360,0
ACH-000611,1
ACH-000910,0
ACH-000452,0
ACH-001274,1
ACH-000704,0
ACH-000583,1
ACH-000935,0
ACH-000332,0
ACH-000976,1
ACH-000428,1
ACH-001193,0
ACH-001341,1
ACH-000362,1
ACH-000556,0
ACH-000915,1
ACH-001374,0
ACH-000948,1
ACH-001655,0
ACH-000371,0
ACH-000421,0
ACH-001333,0
ACH-000244,0
ACH-000874,1
ACH-000684,0
ACH-001332,0
ACH-000365,1
ACH-000896,0
ACH-000449,0
ACH-001529,0
ACH-000769,1
ACH-000667,1
ACH-000809,1
ACH-000863,0
ACH-000334,0
ACH-001401,0
ACH-000905,1
ACH-000855,1
ACH-000674,0
ACH-000335,0
ACH-000631,0
ACH-000943,0
ACH-000336,0
ACH-001399,1
ACH-000806,1
ACH-000432,1
ACH-000552,1
ACH-000750,1
ACH-000601,0
ACH-000997,1
ACH-000711,0
ACH-000656,1
ACH-000411,1
ACH-001086,0
ACH-000566,1
ACH-000105,1
ACH-000633,1
ACH-000749,0
ACH-000361,0
ACH-000337,1
ACH-000528,0
ACH-000827,1
ACH-000878,0
ACH-000213,0
ACH-000754,1
ACH-000971,0
ACH-000148,0
ACH-000367,1
ACH-000722,0
ACH-000650,0
ACH-000384,0
ACH-000212,0
ACH-000569,0
ACH-000581,0
ACH-000417,0
ACH-000680,0
ACH-000599,0
ACH-000046,1
ACH-000979,0
ACH-000653,0
ACH-000938,1
ACH-000572,1
ACH-000547,0
ACH-000914,1
ACH-000171,0
ACH-001526,0
ACH-000311,1
ACH-000983,1
ACH-000045,1
ACH-000023,0
ACH-000755,1
ACH-000768,0
ACH-001307,1
ACH-000738,1
ACH-000433,1
ACH-000752,1
ACH-000380,1
ACH-000751,0
ACH-000881,1
ACH-000430,0
ACH-000953,1
ACH-000061,1
ACH-000053,0
ACH-000153,1
ACH-000832,0
ACH-000120,0
ACH-000481,1
ACH-000668,0
ACH-000664,1
ACH-000403,1
ACH-000438,0
ACH-000906,1
ACH-000112,1
ACH-000926,0
ACH-000201,0
ACH-000113,1
ACH-000124,1
ACH-000096,1
ACH-000059,1
ACH-000496,0
ACH-000713,0
ACH-000663,1
ACH-000315,1
ACH-000222,0
ACH-000605,0
ACH-000654,1
ACH-000245,1
ACH-000988,0
ACH-000932,0
ACH-000190,0
ACH-000794,0
ACH-000176,0
ACH-000326,0
ACH-000018,0
ACH-000218,1
ACH-001306,1
ACH-000488,0
ACH-000596,1
ACH-000232,0
ACH-000294,1
ACH-000463,1
ACH-000320,1
ACH-000295,0
ACH-000852,0
ACH-000960,1
ACH-000400,0
ACH-000934,0
ACH-000558,0
ACH-000804,1
ACH-000968,0
ACH-000880,0
ACH-000386,1
ACH-000139,1
ACH-000825,0
ACH-000609,0
ACH-000301,0
ACH-000090,0
ACH-000625,1
ACH-000338,1
ACH-000174,0
ACH-000330,1
ACH-000853,1
ACH-000188,1
ACH-000323,1
ACH-000847,1
ACH-000535,1
ACH-000007,0
ACH-000919,1
ACH-000383,1
ACH-000672,0
ACH-000544,1
ACH-000478,0
ACH-000571,0
ACH-000108,1
ACH-000448,0
ACH-000178,0
ACH-000155,0
ACH-000927,0
ACH-000106,0
ACH-000657,1
ACH-000957,0
ACH-000104,1
ACH-000824,1
ACH-000047,1
ACH-000242,0
ACH-000865,1
ACH-000522,0
ACH-000555,0
ACH-000135,1
ACH-000577,0
ACH-000748,1
ACH-000329,0
ACH-000859,1
ACH-000693,1
ACH-000696,1
ACH-000396,1
ACH-000757,1
ACH-000074,0
ACH-000259,1
ACH-000620,0
ACH-000913,1
ACH-000655,1
ACH-000911,1
ACH-000424,0
ACH-000226,0
ACH-000356,1
ACH-000006,1
ACH-000009,1
ACH-000200,0
ACH-000580,0
ACH-000515,1
ACH-000270,1
ACH-000505,0
ACH-000838,1
ACH-000973,0
ACH-000287,1
ACH-000359,0
ACH-000614,0
ACH-000846,0
ACH-000472,0
ACH-000204,1
ACH-000861,1
ACH-000974,1
ACH-000579,0
ACH-000589,1
ACH-000092,0
ACH-000491,0
ACH-000473,1
ACH-000894,1
ACH-000258,1
ACH-000963,1
ACH-000554,0
ACH-000070,1
ACH-000849,0
ACH-000788,0
ACH-000303,0
ACH-000250,0
ACH-000706,0
ACH-000510,1
ACH-000986,0
ACH-000936,1
ACH-000607,0
ACH-000277,1
ACH-000355,0
ACH-000281,1
ACH-000730,0
ACH-000883,1
ACH-000425,0
ACH-000004,1
ACH-000304,0
ACH-000956,0
ACH-000848,1
ACH-000574,0
ACH-000060,1
ACH-000843,0
ACH-000236,0
ACH-000072,0
ACH-000147,0
ACH-000815,1
