,pictilisib
ACH-000534,1
ACH-001498,1
ACH-000545,0
ACH-001617,1
ACH-000470,0
ACH-001443,1
ACH-000981,0
ACH-001642,0
ACH-000652,0
ACH-001400,0
ACH-000660,1
ACH-001549,1
ACH-001442,1
ACH-001542,1
ACH-001702,1
ACH-000958,1
ACH-001334,1
ACH-001638,0
ACH-000318,0
ACH-001497,0
ACH-000437,1
ACH-001653,1
ACH-000716,0
ACH-000677,0
ACH-000469,1
ACH-000991,1
ACH-001328,1
ACH-001344,0
ACH-001530,0
ACH-000567,1
ACH-001016,1
ACH-001402,0
ACH-001650,0
ACH-000484,1
ACH-000516,0
ACH-001106,0
ACH-001517,0
ACH-000949,0
ACH-000439,0
ACH-001336,1
ACH-000917,1
ACH-000489,0
ACH-000002,1
ACH-001525,0
ACH-001715,0
ACH-000649,1
ACH-000970,1
ACH-001494,0
ACH-000626,0
ACH-000271,1
ACH-001368,1
ACH-001345,1
ACH-001711,1
ACH-000719,1
ACH-000568,1
ACH-001674,1
ACH-000778,1
ACH-001360,0
ACH-000611,1
ACH-000910,1
ACH-000688,1
ACH-000452,0
ACH-001274,1
ACH-000704,1
ACH-001654,1
ACH-000583,1
ACH-000935,1
ACH-000332,0
ACH-000976,1
ACH-000428,0
ACH-001193,1
ACH-001341,0
ACH-000362,1
ACH-000556,0
ACH-000915,0
ACH-001374,1
ACH-000948,1
ACH-001655,1
ACH-000371,0
ACH-000421,0
ACH-000714,1
ACH-001333,1
ACH-000244,0
ACH-000874,1
ACH-000684,0
ACH-000858,0
ACH-001332,0
ACH-000365,1
ACH-000896,0
ACH-000449,1
ACH-001529,0
ACH-000769,0
ACH-001500,0
ACH-000667,1
ACH-000793,0
ACH-000809,0
ACH-000863,0
ACH-000334,0
ACH-001401,1
ACH-000905,0
ACH-000855,1
ACH-000681,1
ACH-000674,0
ACH-000335,0
ACH-000631,0
ACH-000943,1
ACH-000336,1
ACH-001399,0
ACH-001496,0
ACH-000806,0
ACH-000432,0
ACH-000552,1
ACH-000750,1
ACH-000601,0
ACH-001418,0
ACH-000997,1
ACH-000711,1
ACH-000656,0
ACH-000411,0
ACH-001086,0
ACH-000566,1
ACH-000105,0
ACH-000633,1
ACH-000749,1
ACH-000361,0
ACH-000337,1
ACH-000528,0
ACH-000827,1
ACH-000878,0
ACH-000213,0
ACH-000754,0
ACH-000971,1
ACH-000148,1
ACH-000367,0
ACH-000722,0
ACH-000650,1
ACH-000450,1
ACH-000384,0
ACH-000212,0
ACH-000569,0
ACH-000581,0
ACH-000417,0
ACH-000680,1
ACH-000599,1
ACH-000046,1
ACH-000979,0
ACH-000653,0
ACH-000263,1
ACH-000938,1
ACH-000572,0
ACH-000547,0
ACH-000914,1
ACH-000171,0
ACH-001526,1
ACH-000311,1
ACH-000983,0
ACH-000045,1
ACH-000023,0
ACH-000755,0
ACH-000768,0
ACH-001307,0
ACH-000738,0
ACH-000433,1
ACH-000752,0
ACH-000380,1
ACH-000751,1
ACH-000881,0
ACH-000987,0
ACH-000430,0
ACH-000953,0
ACH-000061,1
ACH-000053,0
ACH-000153,0
ACH-000832,1
ACH-000120,1
ACH-000481,1
ACH-000668,1
ACH-000403,1
ACH-000438,1
ACH-000906,0
ACH-000763,1
ACH-000926,1
ACH-000201,0
ACH-000113,0
ACH-000124,1
ACH-000096,1
ACH-000059,0
ACH-000496,1
ACH-000663,1
ACH-000678,0
ACH-000315,1
ACH-000222,0
ACH-000605,1
ACH-000654,0
ACH-000245,0
ACH-000988,1
ACH-000932,0
ACH-000190,0
ACH-000288,0
ACH-000794,0
ACH-000176,0
ACH-000326,0
ACH-000018,0
ACH-000218,1
ACH-001306,1
ACH-000488,0
ACH-000596,0
ACH-000232,0
ACH-000828,0
ACH-000294,1
ACH-000463,0
ACH-000320,0
ACH-000295,0
ACH-000852,0
ACH-000960,1
ACH-000400,1
ACH-000934,1
ACH-000558,1
ACH-000804,1
ACH-000968,1
ACH-000187,1
ACH-000880,1
ACH-000386,0
ACH-000139,0
ACH-000825,0
ACH-000609,0
ACH-000301,0
ACH-000090,0
ACH-000625,1
ACH-000338,1
ACH-000174,1
ACH-000330,1
ACH-000853,0
ACH-000188,1
ACH-000323,1
ACH-000847,1
ACH-000535,1
ACH-000810,0
ACH-000007,1
ACH-000919,1
ACH-000383,1
ACH-000672,0
ACH-000544,1
ACH-000478,1
ACH-000571,1
ACH-000108,0
ACH-000448,1
ACH-000178,0
ACH-000989,1
ACH-000155,0
ACH-000927,1
ACH-000106,1
ACH-000657,1
ACH-000957,1
ACH-000104,1
ACH-000824,0
ACH-000798,0
ACH-000047,1
ACH-000242,0
ACH-000865,1
ACH-000522,1
ACH-000555,1
ACH-000135,0
ACH-001373,1
ACH-000577,1
ACH-000748,1
ACH-000329,1
ACH-000859,1
ACH-000693,1
ACH-000696,1
ACH-000396,0
ACH-000757,0
ACH-000074,0
ACH-000259,0
ACH-000620,0
ACH-000913,1
ACH-000655,0
ACH-000911,1
ACH-000424,1
ACH-000226,0
ACH-000356,1
ACH-000006,1
ACH-000009,1
ACH-000200,0
ACH-000580,0
ACH-000270,0
ACH-000505,0
ACH-000838,1
ACH-000973,1
ACH-000287,1
ACH-000359,1
ACH-000614,0
ACH-000846,1
ACH-000472,1
ACH-000204,0
ACH-000861,0
ACH-000974,1
ACH-000579,0
ACH-000589,1
ACH-000092,0
ACH-000491,1
ACH-000473,0
ACH-000894,0
ACH-000258,0
ACH-000963,1
ACH-000247,0
ACH-000554,1
ACH-000070,1
ACH-000357,1
ACH-000849,1
ACH-000788,1
ACH-000303,1
ACH-000250,0
ACH-000706,1
ACH-000510,0
ACH-000986,0
ACH-000936,1
ACH-000607,1
ACH-000277,0
ACH-000355,0
ACH-000281,0
ACH-000730,1
ACH-000506,0
ACH-000883,1
ACH-000966,1
ACH-000425,1
ACH-000004,0
ACH-000304,1
ACH-000956,1
ACH-000848,0
ACH-000574,1
ACH-000060,1
ACH-000843,1
ACH-000236,0
ACH-000072,0
ACH-000147,1
ACH-000815,0
ACH-000030,0
ACH-000817,1
ACH-000617,0
ACH-000691,1
ACH-000207,1
ACH-000198,0
ACH-000724,0
ACH-000162,1
ACH-000985,1
ACH-000886,1
ACH-000725,1
ACH-000019,1
ACH-000322,1
ACH-000821,1
ACH-000343,0
ACH-000756,1
ACH-000551,0
ACH-000524,0
ACH-000183,1
ACH-000020,0
ACH-000493,1
ACH-000193,1
ACH-000944,1
ACH-000651,0
ACH-000857,1
ACH-000267,0
ACH-000727,0
ACH-000464,1
ACH-000082,1
ACH-000784,0
ACH-000048,0
ACH-000094,0
ACH-000219,1
ACH-000595,0
ACH-000826,1
ACH-000363,0
ACH-000530,1
ACH-000918,1
ACH-000856,1
ACH-000376,1
ACH-000235,0
ACH-000869,0
ACH-000679,1
ACH-000075,1
ACH-000065,1
ACH-000622,0
ACH-000613,0
ACH-000248,1
ACH-000538,1
ACH-000375,1
ACH-000145,1
ACH-000587,1
ACH-000951,0
ACH-000616,1
ACH-000662,1
ACH-000369,1
ACH-000648,0
ACH-000360,1
ACH-000353,1
ACH-000812,0
ACH-000892,1
ACH-000995,1
ACH-000243,1
ACH-000273,1
ACH-000639,0
ACH-000893,0
ACH-000803,0
ACH-000922,1
ACH-000056,0
ACH-000819,0
ACH-000811,0
ACH-000151,0
ACH-000138,1
ACH-000379,1
