,plx-4720
ACH-000534,1
ACH-001498,0
ACH-000545,1
ACH-001617,1
ACH-000470,0
ACH-001443,0
ACH-000981,0
ACH-001642,1
ACH-000652,0
ACH-001400,1
ACH-000660,1
ACH-001549,0
ACH-001442,0
ACH-001542,1
ACH-001702,0
ACH-000958,0
ACH-001334,1
ACH-001638,0
ACH-000318,0
ACH-001497,1
ACH-000437,1
ACH-001653,1
ACH-000716,0
ACH-000677,0
ACH-000469,1
ACH-000991,1
ACH-001328,1
ACH-001344,0
ACH-001530,0
ACH-000567,1
ACH-001016,0
ACH-001402,0
ACH-001650,0
ACH-000484,1
ACH-000516,1
ACH-001106,1
ACH-001517,0
ACH-000949,1
ACH-000439,0
ACH-001336,0
ACH-000917,0
ACH-000489,0
ACH-000002,1
ACH-001525,0
ACH-001715,0
ACH-000649,0
ACH-000970,1
ACH-001494,0
ACH-000626,0
ACH-000271,1
ACH-001368,0
ACH-001345,1
ACH-001711,0
ACH-000719,0
ACH-000568,1
ACH-001674,0
ACH-000778,1
ACH-001360,0
ACH-000611,1
ACH-000910,0
ACH-000688,1
ACH-000452,1
ACH-001274,1
ACH-000704,0
ACH-001654,0
ACH-000583,1
ACH-000935,1
ACH-000332,0
ACH-000976,1
ACH-000428,1
ACH-001193,1
ACH-001341,0
ACH-000362,1
ACH-000556,0
ACH-000915,1
ACH-001374,1
ACH-000948,0
ACH-001655,1
ACH-000371,1
ACH-000421,0
ACH-000714,1
ACH-001333,1
ACH-000244,0
ACH-000874,1
ACH-000684,0
ACH-000858,1
ACH-001332,0
ACH-000365,1
ACH-000896,0
ACH-000449,1
ACH-001529,0
ACH-000769,0
ACH-001500,1
ACH-000667,0
ACH-000793,0
ACH-000809,0
ACH-000863,1
ACH-000334,1
ACH-001401,1
ACH-000905,1
ACH-000855,1
ACH-000681,1
ACH-000674,0
ACH-000335,1
ACH-000631,0
ACH-000943,1
ACH-000336,0
ACH-001399,0
ACH-001496,0
ACH-000806,1
ACH-000432,1
ACH-000552,1
ACH-000750,1
ACH-000601,0
ACH-001418,0
ACH-000997,1
ACH-000711,0
ACH-000656,1
ACH-000411,1
ACH-001086,1
ACH-000566,1
ACH-000105,1
ACH-000633,1
ACH-000749,1
ACH-000361,1
ACH-000337,0
ACH-000528,0
ACH-000827,1
ACH-000878,0
