,serdemetan
ACH-000534,0
ACH-001498,1
ACH-000545,0
ACH-001617,1
ACH-000470,0
ACH-001443,0
ACH-000981,1
ACH-000652,1
ACH-001400,1
ACH-000660,1
ACH-001549,1
ACH-001442,1
ACH-001542,1
ACH-001702,1
ACH-000958,0
ACH-001334,1
ACH-001638,0
ACH-000318,0
ACH-001497,1
ACH-000437,1
ACH-001653,1
ACH-000716,1
ACH-000677,0
ACH-000469,1
ACH-000991,0
ACH-001328,1
ACH-001344,1
ACH-001530,0
ACH-000567,0
ACH-001016,1
ACH-001402,1
ACH-001650,1
ACH-000516,0
ACH-001517,1
ACH-000949,0
ACH-000439,0
ACH-001336,1
ACH-000917,1
ACH-000489,0
ACH-000002,0
ACH-001525,0
ACH-001715,0
ACH-000649,1
ACH-000970,0
ACH-001494,0
ACH-000271,1
ACH-001368,0
ACH-001345,0
ACH-001711,0
ACH-000719,1
ACH-001674,1
ACH-000778,1
ACH-001360,0
ACH-000611,1
ACH-000910,0
ACH-000688,0
ACH-000452,1
ACH-001274,1
ACH-000704,0
ACH-001654,1
ACH-000583,0
ACH-000935,1
ACH-000332,1
ACH-000976,1
ACH-000428,1
ACH-001341,1
ACH-000362,1
ACH-000556,0
ACH-000915,1
ACH-001374,1
ACH-000948,1
ACH-001655,1
ACH-000371,0
ACH-000421,0
ACH-000714,0
ACH-001333,1
ACH-000244,1
ACH-000874,1
ACH-000684,1
ACH-000858,0
ACH-001332,1
ACH-000365,0
ACH-000896,1
ACH-000449,0
ACH-001529,1
ACH-000769,0
ACH-001500,0
ACH-000667,0
ACH-000793,0
ACH-000809,1
ACH-000863,0
ACH-000334,1
ACH-001401,1
ACH-000905,1
ACH-000855,1
ACH-000681,0
ACH-000674,1
ACH-000335,1
ACH-000631,0
ACH-000943,0
ACH-000336,0
ACH-001399,0
ACH-001496,0
ACH-000806,1
ACH-000432,1
ACH-000552,0
ACH-000750,0
ACH-000601,1
ACH-001418,0
ACH-000997,0
ACH-000711,1
ACH-000656,0
ACH-000411,1
ACH-001086,0
ACH-000566,1
ACH-000105,1
ACH-000633,1
ACH-000749,1
ACH-000361,0
ACH-000337,0
ACH-000528,0
ACH-000827,1
ACH-000878,0
ACH-000213,0
ACH-000754,0
ACH-000971,1
ACH-000148,1
ACH-000367,1
ACH-000722,0
ACH-000650,0
ACH-000450,1
ACH-000384,1
ACH-000212,1
ACH-000569,1
ACH-000581,0
ACH-000417,0
ACH-000680,0
ACH-000599,1
ACH-000046,1
ACH-000979,1
ACH-000653,1
ACH-000263,1
ACH-000938,0
ACH-000572,1
ACH-000547,0
ACH-000914,0
ACH-000171,0
ACH-001526,1
ACH-000311,0
ACH-000983,1
ACH-000045,1
ACH-000023,1
ACH-000755,0
ACH-000768,1
ACH-001307,1
ACH-000738,0
ACH-000433,1
ACH-000752,0
ACH-000380,1
ACH-000751,0
ACH-000881,1
ACH-000987,1
ACH-000430,1
ACH-000953,0
ACH-000061,1
ACH-000053,0
ACH-000153,1
ACH-000832,0
ACH-000120,1
ACH-000481,0
ACH-000668,0
ACH-000403,0
ACH-000438,0
ACH-000906,0
ACH-000763,1
ACH-000926,0
ACH-000201,1
ACH-000113,1
ACH-000124,0
ACH-000096,1
ACH-000059,1
ACH-000496,1
ACH-000663,1
ACH-000678,0
ACH-000315,0
ACH-000222,0
ACH-000605,0
ACH-000654,0
ACH-000245,1
ACH-000988,0
ACH-000932,0
ACH-000190,1
ACH-000288,1
ACH-000794,1
ACH-000176,1
ACH-000326,1
ACH-000018,0
ACH-000218,0
ACH-001306,0
ACH-000488,1
ACH-000596,1
ACH-000232,1
ACH-000828,0
ACH-000294,1
ACH-000463,1
ACH-000320,1
ACH-000295,0
ACH-000852,0
ACH-000960,1
ACH-000400,0
ACH-000934,1
ACH-000558,1
ACH-000804,1
ACH-000968,1
ACH-000880,1
ACH-000386,0
ACH-000139,1
ACH-000825,0
ACH-000609,0
ACH-000301,1
ACH-000090,0
ACH-000625,1
ACH-000338,1
ACH-000174,0
ACH-000330,0
ACH-000853,1
ACH-000188,0
ACH-000323,1
ACH-000847,1
ACH-000535,1
ACH-000810,1
ACH-000007,0
ACH-000919,1
ACH-000383,1
ACH-000672,0
ACH-000544,1
ACH-000478,1
ACH-000571,1
ACH-000108,0
ACH-000448,0
ACH-000178,0
ACH-000155,0
ACH-000927,0
ACH-000106,1
ACH-000657,1
ACH-000957,0
ACH-000104,1
ACH-000824,1
ACH-000798,0
ACH-000047,1
ACH-000242,0
ACH-000522,1
ACH-000555,1
ACH-000135,1
ACH-001373,0
ACH-000577,0
ACH-000748,0
ACH-000329,0
ACH-000859,1
ACH-000693,1
ACH-000696,1
ACH-000396,0
ACH-000757,0
ACH-000074,1
ACH-000259,1
ACH-000620,1
ACH-000913,1
ACH-000655,0
ACH-000911,1
ACH-000424,1
ACH-000226,1
ACH-000356,1
ACH-000006,1
ACH-000009,0
ACH-000200,1
ACH-000580,1
ACH-000270,0
ACH-000505,1
ACH-000838,1
ACH-000973,1
ACH-000287,1
ACH-000359,1
ACH-000614,1
ACH-000846,1
ACH-000472,0
ACH-000204,0
ACH-000861,1
ACH-000974,1
ACH-000579,1
ACH-000589,1
ACH-000092,1
ACH-000491,0
ACH-000473,1
ACH-000894,0
ACH-000258,1
ACH-000963,1
ACH-000247,0
ACH-000554,1
ACH-000070,1
ACH-000357,1
ACH-000849,1
ACH-000788,0
ACH-000303,0
ACH-000250,1
ACH-000706,0
