,0
stad_1,0
stad_2,0
stad_3,0
stad_4,0
stad_5,0
stad_6,0
stad_7,0
stad_8,0
stad_9,0
stad_10,0
stad_11,0
stad_12,0
stad_13,0
stad_14,0
stad_15,0
stad_16,0
esca_1,0
paad_1,0
paad_2,0
paad_3,0
paad_4,0
paad_5,0
paad_6,0
coad_1,0
coad_2,0
stad_1,1
stad_2,1
stad_3,1
stad_4,1
stad_5,1
stad_6,1
stad_7,1
stad_8,1
stad_9,1
stad_10,1
stad_11,1
stad_12,1
stad_13,1
stad_14,1
stad_15,1
stad_16,1
stad_17,1
stad_18,1
stad_19,1
read_1,1
read_2,1
read_3,1
read_4,1
read_5,1
read_6,1
read_7,1
read_8,1
read_9,1
esca_1,1
esca_2,1
paad_1,1
paad_2,1
paad_3,1
coad_1,1
coad_2,1
